seqnames	start	end	width	strand	X.AGG.MEAN	X.AGG.COUNT	X.AGG.MAX	X.AGG.MIN
chr1	713131	713668	538	*	12	3	12	12
chr1	714437	714760	324	*	30	2	30	30
chr1	840382	841119	738	*	2.1429	14	3	1
chr1	856113	856627	515	*	7.1667	6	19	2
chr1	858351	862138	3788	*	19.7956	181	70	1
chr1	875875	876389	515	*	6.1875	16	14	1
chr1	876746	877381	636	*	15.7667	60	26	1
chr1	877385	878628	1244	*	18.2308	39	40	1
chr1	893009	897745	4737	*	15.5943	175	51	1
chr1	901449	902979	1531	*	21.3038	79	49	1
chr1	905802	906230	429	*	1	5	1	1
chr1	911567	911689	123	*	8.5	8	21	1
chr1	934669	934890	222	*	9.75	20	13	2
chr1	935588	936413	826	*	16.1967	61	32	1
chr1	936827	937014	188	*	15.875	8	22	2
chr1	937078	937297	220	*	20.8	30	43	8
chr1	948352	949557	1206	*	1	3	1	1
chr1	954642	957878	3237	*	23.6694	124	60	1
chr1	968659	968898	240	*	7.5455	11	12	4
chr1	969138	970120	983	*	10.9219	64	28	2
chr1	975343	975549	207	*	19.25	12	31	1
chr1	975705	976286	582	*	12.5417	24	19	4
chr1	993914	995796	1883	*	24.1222	90	61	1
chr1	1003449	1005529	2081	*	15.3548	62	47	1
chr1	1015347	1015535	189	*	11.8889	9	24	3
chr1	1050225	1050979	755	*	5.6087	23	12	1
chr1	1051158	1051452	295	*	13.1667	30	36	2
chr1	1051661	1052426	766	*	18.8846	52	42	2
chr1	1071962	1072642	681	*	16.4444	27	32	1
chr1	1092781	1093694	914	*	13.1	30	31	1
chr1	1099571	1100090	520	*	15.5	20	26	2
chr1	1109184	1109739	556	*	12.2353	17	31	1
chr1	1136712	1137047	336	*	23.5455	55	43	4
chr1	1141523	1141827	305	*	18.0909	22	47	1
chr1	1141836	1141958	123	*	22	3	22	22
chr1	1142068	1142174	107	*	20	2	20	20
chr1	1165508	1169159	3652	*	13.4845	161	46	1
chr1	1182215	1182328	114	*	3	1	3	3
chr1	1207108	1210723	3616	*	19.6496	117	47	1
chr1	1239726	1246153	6428	*	14.9403	268	57	1
chr1	1240156	1240414	259	*	3	14	12	1
chr1	1241591	1245592	4002	*	15.8694	245	57	1
chr1	1259149	1261454	2306	*	26.194	67	43	1
chr1	1282280	1286246	3967	*	13.8214	168	41	1
chr1	1286695	1287396	702	*	6.4286	21	22	1
chr1	1286801	1287839	1039	*	6.1818	22	22	1
chr1	1288676	1290717	2042	*	19.8333	60	50	1
chr1	1308581	1312489	3909	*	17.7625	80	64	1
chr1	1332639	1336944	4306	*	24.7018	57	62	1
chr1	1340747	1345037	4291	*	16.1461	89	60	1
chr1	1355189	1355403	215	*	18.84	25	32	11
chr1	1370528	1372065	1538	*	21.913	46	49	9
chr1	1405385	1409197	3813	*	24.9474	19	33	1
chr1	1445707	1449438	3732	*	12.7059	51	38	1
chr1	1474683	1475369	687	*	11.4848	33	27	1
chr1	1476027	1476665	639	*	12.0294	34	31	1
chr1	1508114	1511962	3849	*	18.8846	104	62	1
chr1	1534527	1534975	449	*	2.7647	17	7	1
chr1	1535700	1536070	371	*	16.5667	30	31	1
chr1	1548890	1553027	4138	*	26.4691	162	65	1
chr1	1563777	1565371	1595	*	10	64	26	1
chr1	1567550	1567784	235	*	19.3846	26	41	4
chr1	1590310	1590881	572	*	32.1333	30	62	1
chr1	1655441	1656120	680	*	14.5455	11	25	2
chr1	1707939	1712806	4868	*	18.9279	111	46	1
chr1	1713719	1714539	821	*	35.6	10	57	1
chr1	1819719	1824396	4678	*	16.6995	183	46	1
chr1	1839101	1842286	3186	*	19.4746	59	43	1
chr1	1849744	1850876	1133	*	15.75	40	37	1
chr1	1851134	1851352	219	*	8.9286	14	16	1
chr1	1875663	1875932	270	*	2	7	2	2
chr1	1891360	1891746	387	*	1	3	1	1
chr1	1934931	1935635	705	*	12.1489	47	25	1
chr1	1949958	1950544	587	*	17	9	21	12
chr1	1977942	1979955	2014	*	8.2143	28	29	1
chr1	1980059	1984007	3949	*	12.8171	164	38	1
chr1	2047098	2048388	1291	*	1.2	10	2	1
chr1	2063698	2066204	2507	*	15.6	10	39	1
chr1	2120962	2121672	711	*	10.5	12	31	1
chr1	2124850	2125022	173	*	2	1	2	2
chr1	2125196	2125760	565	*	13.25	12	16	10
chr1	2126213	2126910	698	*	7.3333	12	23	1
chr1	2135641	2136376	736	*	15.5152	33	40	1
chr1	2136732	2137449	718	*	17.88	50	46	1
chr1	2143976	2144881	906	*	4.7692	13	7	1
chr1	2158013	2159141	1129	*	15.5238	63	38	1
chr1	2160151	2162594	2444	*	18.4	60	53	1
chr1	2177587	2187869	10283	*	2.3929	28	24	1
chr1	2179325	2180336	1012	*	1.3077	13	3	1
chr1	2245149	2247119	1971	*	13.1176	85	41	1
chr1	2321323	2325091	3769	*	17.3871	93	37	1
chr1	2342990	2345626	2637	*	16.3293	82	38	1
chr1	2374030	2379656	5627	*	12.4545	99	58	1
chr1	2455816	2459358	3543	*	18.7609	46	44	1
chr1	2460480	2462581	2102	*	14.0784	153	50	1
chr1	2474794	2475794	1001	*	16.75	8	27	10
chr1	2477469	2479709	2241	*	22.7471	87	64	1
chr1	2516467	2519489	3023	*	16.9452	73	39	1
chr1	2542734	2542935	202	*	1	2	1	1
chr1	2559422	2561165	1744	*	11.3571	70	33	1
chr1	2559790	2559959	170	*	16.2222	9	23	2
chr1	2560467	2560661	195	*	5.0952	21	14	1
chr1	2573227	2576026	2800	*	20.2857	112	61	1
chr1	2812715	2814238	1524	*	2	2	2	2
chr1	2853230	2859376	6147	*	5.2	10	16	1
chr1	2979522	2980843	1322	*	18.0811	37	49	1
chr1	2983553	2988340	4788	*	14.8359	262	39	1
chr1	2989659	2991051	1393	*	8.3333	24	26	1
chr1	3163783	3164642	860	*	7.4	15	29	1
chr1	3268439	3269497	1059	*	2.4286	7	5	2
chr1	3309862	3310974	1113	*	16.5417	48	51	1
chr1	3371499	3372411	913	*	15.5909	22	31	1
chr1	3446813	3448822	2010	*	12.4773	88	43	1
chr1	3526960	3528187	1228	*	21.2222	45	48	1
chr1	3540354	3541558	1205	*	17.8806	67	55	1
chr1	3541833	3542544	712	*	16.1667	36	27	4
chr1	3564919	3570678	5760	*	15.9718	213	45	1
chr1	3623135	3625361	2227	*	9.5	32	58	1
chr1	3649268	3649859	592	*	1	1	1	1
chr1	3662174	3664303	2130	*	23.102	49	62	1
chr1	3688212	3689149	938	*	6.4062	32	20	1
chr1	3689235	3689898	664	*	21.9714	35	52	1
chr1	3710776	3710910	135	*	1	1	1	1
chr1	3711401	3714182	2782	*	18.5926	81	59	1
chr1	3772060	3775583	3524	*	13.2083	72	46	1
chr1	3814780	3818875	4096	*	22.8302	53	53	1
