seqnames	start	end	width	strand	X.AGG.MEAN	X.AGG.COUNT	X.AGG.MAX	X.AGG.MIN
chr1	713131	713668	538	*	8	3	8	8
chr1	714437	714760	324	*	68	2	68	68
chr1	840382	841119	738	*	1.6667	6	2	1
chr1	856113	856627	515	*	2	4	3	1
chr1	858351	862138	3788	*	44.2882	170	120	1
chr1	875875	876389	515	*	1.375	8	2	1
chr1	876746	877381	636	*	35.2586	58	69	1
chr1	877385	878628	1244	*	23.6744	43	92	1
chr1	893009	897745	4737	*	28.5578	147	106	1
chr1	901449	902979	1531	*	19.3766	77	78	1
chr1	905802	906230	429	*	1	1	1	1
chr1	911567	911689	123	*	42	3	42	42
chr1	934669	934890	222	*	9.1667	24	23	1
chr1	935588	936413	826	*	19.8148	54	52	2
chr1	936827	937014	188	*	8.5	6	9	8
chr1	937078	937297	220	*	18.2	30	53	1
chr1	954642	957878	3237	*	23.163	135	144	1
chr1	968659	968898	240	*	19.9091	11	34	6
chr1	969138	970120	983	*	23.3443	61	53	1
chr1	975343	975549	207	*	49.2	10	66	30
chr1	975705	976286	582	*	30.2581	31	74	1
chr1	993914	995796	1883	*	36.0476	84	110	1
chr1	999693	999897	205	*	1	3	1	1
chr1	1003449	1005529	2081	*	20.9057	53	52	1
chr1	1015347	1015535	189	*	15	9	40	1
chr1	1050225	1050979	755	*	5.8462	13	10	1
chr1	1051158	1051452	295	*	34.3	20	61	7
chr1	1051661	1052426	766	*	19.766	47	43	11
chr1	1071962	1072642	681	*	22.5926	27	63	1
chr1	1092781	1093694	914	*	16	23	52	1
chr1	1099571	1100090	520	*	15.75	16	25	8
chr1	1109184	1109739	556	*	12.8	15	27	1
chr1	1136712	1137047	336	*	57.4359	39	127	32
chr1	1141523	1141827	305	*	18.8947	19	51	3
chr1	1141836	1141958	123	*	18.5714	7	38	4
chr1	1142068	1142174	107	*	6	2	6	6
chr1	1165508	1169159	3652	*	40.1353	133	110	1
chr1	1182215	1182328	114	*	3	1	3	3
chr1	1207108	1210723	3616	*	24.0459	109	101	1
chr1	1239726	1246153	6428	*	27.8451	226	104	1
chr1	1240156	1240414	259	*	1.5	12	7	1
chr1	1241591	1245592	4002	*	30.7723	202	104	1
chr1	1259149	1261454	2306	*	34.5806	62	78	1
chr1	1282280	1286246	3967	*	22.2866	157	93	1
chr1	1286695	1287396	702	*	13.8	15	37	1
chr1	1286801	1287839	1039	*	12.2941	17	37	1
chr1	1288676	1290717	2042	*	21.5429	70	85	1
chr1	1308581	1312489	3909	*	28.6545	55	62	1
chr1	1332639	1336944	4306	*	39.4773	44	146	1
chr1	1340747	1345037	4291	*	27.2533	75	113	1
chr1	1355189	1355403	215	*	33.24	25	48	24
chr1	1370528	1372065	1538	*	35.8	35	132	2
chr1	1405385	1409197	3813	*	29.2105	19	75	1
chr1	1445707	1449438	3732	*	10.2903	31	21	1
chr1	1474683	1475369	687	*	31.8333	24	64	6
chr1	1476027	1476665	639	*	21.7241	29	66	1
chr1	1508114	1511962	3849	*	29.191	89	83	1
chr1	1534527	1534975	449	*	1.7143	14	2	1
chr1	1535700	1536070	371	*	11.2667	30	33	1
chr1	1548890	1553027	4138	*	44.3289	152	89	1
chr1	1563777	1565371	1595	*	17.8025	81	66	1
chr1	1567550	1567784	235	*	15.4231	26	28	5
chr1	1590310	1590881	572	*	49.6	25	98	6
chr1	1655441	1656120	680	*	19.5455	11	35	1
chr1	1707939	1712806	4868	*	28.7312	93	96	1
chr1	1713719	1714539	821	*	25.75	8	52	17
chr1	1819719	1824396	4678	*	27.4207	164	100	1
chr1	1839101	1842286	3186	*	13.5323	62	53	1
chr1	1849744	1850876	1133	*	19.8966	29	87	2
chr1	1851134	1851352	219	*	17.0714	14	30	1
chr1	1875663	1875932	270	*	1.8	5	3	1
chr1	1934931	1935635	705	*	17.4091	44	26	1
chr1	1949958	1950544	587	*	6.1111	9	7	5
chr1	1977942	1979955	2014	*	7.95	20	29	1
chr1	1980059	1984007	3949	*	17.0071	141	72	1
chr1	2047098	2048388	1291	*	1	2	1	1
chr1	2063698	2066204	2507	*	14	6	25	1
chr1	2120962	2121672	711	*	10.4167	12	40	1
chr1	2125196	2125760	565	*	19.3333	12	34	4
chr1	2126213	2126910	698	*	6.75	12	19	1
chr1	2130862	2130992	131	*	1	3	1	1
chr1	2135641	2136376	736	*	20.6	25	57	1
chr1	2136732	2137449	718	*	31.8837	43	83	1
chr1	2143976	2144881	906	*	1.5	8	2	1
chr1	2158013	2159141	1129	*	15.9545	44	41	1
chr1	2160151	2162594	2444	*	29.1364	44	57	1
chr1	2177587	2187869	10283	*	1.4737	19	8	1
chr1	2179325	2180336	1012	*	1	9	1	1
chr1	2210364	2210901	538	*	1	1	1	1
chr1	2245149	2247119	1971	*	19.619	84	64	1
chr1	2321323	2325091	3769	*	29.6235	85	69	1
chr1	2342990	2345626	2637	*	21.2857	70	64	1
chr1	2374030	2379656	5627	*	17.5915	71	51	1
chr1	2455816	2459358	3543	*	19.1277	47	46	1
chr1	2460480	2462581	2102	*	22.4718	142	75	1
chr1	2474794	2475794	1001	*	2.5	4	3	2
chr1	2477469	2479709	2241	*	30.5694	72	90	1
chr1	2516467	2519489	3023	*	27.1587	63	82	1
chr1	2542734	2542935	202	*	1	2	1	1
chr1	2559422	2561165	1744	*	13.0339	59	45	2
chr1	2559790	2559959	170	*	34.8889	9	45	2
chr1	2560467	2560661	195	*	8.0952	21	17	2
chr1	2573227	2576026	2800	*	29.6633	98	102	1
chr1	2812715	2814238	1524	*	1	1	1	1
chr1	2832142	2833212	1071	*	1	1	1	1
chr1	2832616	2833228	613	*	1	1	1	1
chr1	2853230	2859376	6147	*	7.5714	7	12	1
chr1	2979522	2980843	1322	*	29.1667	24	66	1
