seqnames	start	end	width	strand	X.AGG.MEAN	X.AGG.COUNT	X.AGG.MAX	X.AGG.MIN
chr1	713131	713668	538	*	18	3	18	18
chr1	714437	714760	324	*	60	2	60	60
chr1	840382	841119	738	*	2	4	2	2
chr1	856113	856627	515	*	7.6667	3	9	6
chr1	858351	862138	3788	*	54.5638	149	170	1
chr1	875875	876389	515	*	7.25	12	9	5
chr1	876746	877381	636	*	30.4138	58	48	4
chr1	877385	878628	1244	*	23.625	32	50	3
chr1	893009	897745	4737	*	34.8974	156	181	1
chr1	901449	902979	1531	*	32.3919	74	110	1
chr1	911567	911689	123	*	47	3	47	47
chr1	934669	934890	222	*	15.9375	16	20	9
chr1	935588	936413	826	*	27.087	69	77	2
chr1	936827	937014	188	*	17.625	8	29	3
chr1	937078	937297	220	*	16.3333	30	42	5
chr1	954642	957878	3237	*	39.8043	138	316	1
chr1	968659	968898	240	*	37.4545	11	62	18
chr1	969138	970120	983	*	50.7077	65	221	1
chr1	975343	975549	207	*	44.2	10	56	26
chr1	975705	976286	582	*	49.3333	24	100	2
chr1	993914	995796	1883	*	53.1034	87	215	1
chr1	999693	999897	205	*	4	3	4	4
chr1	1003449	1005529	2081	*	27.64	50	88	3
chr1	1015347	1015535	189	*	16.5556	9	37	1
chr1	1050225	1050979	755	*	9.3125	16	18	1
chr1	1051158	1051452	295	*	37.3333	21	63	2
chr1	1051661	1052426	766	*	31.4043	47	79	9
chr1	1071962	1072642	681	*	23.4615	26	63	1
chr1	1092781	1093694	914	*	11.5	28	32	1
chr1	1099571	1100090	520	*	23.4118	17	43	4
chr1	1109184	1109739	556	*	39.2632	19	110	1
chr1	1136712	1137047	336	*	72.3488	43	211	4
chr1	1141523	1141827	305	*	44.6875	16	102	8
chr1	1141836	1141958	123	*	27	3	27	27
chr1	1142068	1142174	107	*	21	2	21	21
chr1	1165508	1169159	3652	*	33.9474	133	71	1
chr1	1182215	1182328	114	*	6	1	6	6
chr1	1207108	1210723	3616	*	41.0381	105	177	1
chr1	1239726	1246153	6428	*	34.64	225	119	1
chr1	1240156	1240414	259	*	5.9333	15	17	1
chr1	1241591	1245592	4002	*	37.3366	205	119	2
chr1	1259149	1261454	2306	*	51.9516	62	125	1
chr1	1282280	1286246	3967	*	25.5817	153	93	1
chr1	1286695	1287396	702	*	27.1429	14	83	1
chr1	1286801	1287839	1039	*	27.1429	14	83	1
chr1	1288676	1290717	2042	*	39.92	50	79	1
chr1	1308581	1312489	3909	*	44.9123	57	148	1
chr1	1332639	1336944	4306	*	90.1622	37	290	1
chr1	1340747	1345037	4291	*	41.6282	78	277	1
chr1	1355189	1355403	215	*	43.2	25	74	24
chr1	1370528	1372065	1538	*	42	46	221	7
chr1	1405385	1409197	3813	*	29	18	41	16
chr1	1445707	1449438	3732	*	13.6364	33	28	1
chr1	1474683	1475369	687	*	40.5833	24	84	19
chr1	1476027	1476665	639	*	28.7241	29	75	3
chr1	1508114	1511962	3849	*	37.8022	91	171	1
chr1	1534527	1534975	449	*	5.4286	7	10	2
chr1	1535700	1536070	371	*	26.7778	27	40	13
chr1	1548890	1553027	4138	*	82.0753	146	220	1
chr1	1563777	1565371	1595	*	29.4032	62	84	1
